VALIDATED_BY,PUBLICATION,VALID,VILLAGE,LOCATION,STATE_NEW,LATITUDE,LONGITUDE,LAT_LONG,COUNTY|PARISH,STATE_OLD,MONTH_TEXT,MONTH_NUM,DAY,,YEAR,IMAGE|PAGE,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,10,,1808, Image 4,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,3,,1808, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,23,,1809, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,16,,1809, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,16,,1809, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,25,,1809, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,June,6,13,,1809, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,4,,1809, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,11,,1809, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,18,,1809, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,June,6,6,,1809, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,March,3,28,,1809, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,17,,1810, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,10,,1810, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,16,,1811, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,2,,1811, Image 3,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,9,,1811, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,30,,1811, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,14,,1811, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,21,,1811, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,21,,1812, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,28,,1812, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,June,6,2,,1812, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,12,,1812, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,5,,1812, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,26,,1812, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,18,,1813, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,25,,1813, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,20,,1813, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,13,,1813, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,17,,1814, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,10,,1814, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,June,6,13,,1815, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,June,6,6,,1815, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,30,,1815, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,25,,1815, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,11,,1815, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,4,,1815, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,18,,1815, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,18,,1815, Image 3,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,16,,1816, Image 3,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,2,,1816, Image 3,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,30,,1816, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,30,,1816, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,23,,1816, Image 3,
DAVIS,The New Hampshire gazette ,1,Canterbury,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,23,,1816, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,14,,1818, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,21,,1818, Image 1,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,21,,1818, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,5,,1818, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,4,,1819, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,9,,1820, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,25,,1820, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,2,,1820, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,March,3,27,,1821, Image 3,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,17,,1821, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,10,,1821, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,24,,1821, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,May,5,6,,1823, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,12,,1825, Image 4,
DAVIS,The New Hampshire gazette ,1,,Portsmouth,NH,36.811498,-76.367715,"36.811498,-76.367715",,N.H.,April,4,5,,1825, Image 3,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,May,5,24,,1827, Image 1,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,July,7,4,,1827, Image 1,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,June,6,21,,1827, Image 4,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,June,6,28,,1827, Image 1,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,April,4,5,,1827, Image 3,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,June,6,7,,1827, Image 1,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,May,5,2,,1827, Image 1,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,April,4,19,,1827, Image 3,
DAVIS,The Rhode-Island Republican ,1,,Newport,RI,41.487552,-71.327084,"41.487552,-71.327084",,R.I.,April,4,26,,1827, Image 1,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,March,3,15,,1832, Image 3,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,March,3,22,,1832, Image 4,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,April,4,5,,1832, Image 4,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,April,4,25,,1833, Image 4,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,April,4,11,,1833, Image 3,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,April,4,18,,1833, Image 4,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,May,5,2,,1833, Image 1,
DAVIS,Litchfield enquirer ,1,,Litchfield,CT,39.17533,-89.65426,"39.17533,-89.65426",,Conn.,May,5,9,,1833, Image 1,
